Date and Time,Water Level (m)
11/1/2016 0:00,3.059
11/1/2016 0:05,3.06
11/1/2016 0:10,3.058
11/1/2016 0:15,3.058
11/1/2016 0:20,3.055
11/1/2016 0:30,3.056
11/1/2016 0:40,3.057
11/1/2016 0:45,3.057
11/1/2016 0:55,3.056
11/1/2016 1:05,3.058
11/1/2016 1:20,3.059
11/1/2016 1:35,3.061
11/1/2016 1:45,3.064
11/1/2016 1:50,3.065
11/1/2016 1:55,3.067
11/1/2016 2:00,3.066
11/1/2016 2:05,3.068
11/1/2016 2:20,3.071
11/1/2016 2:25,3.073
11/1/2016 2:50,3.079
11/1/2016 3:10,3.086
11/1/2016 3:15,3.087
11/1/2016 3:25,3.093
11/1/2016 3:30,3.092
11/1/2016 3:35,3.094
11/1/2016 3:45,3.098
11/1/2016 3:50,3.099
11/1/2016 3:55,3.1
11/1/2016 4:05,3.103
11/1/2016 4:10,3.105
11/1/2016 4:15,3.106
11/1/2016 4:25,3.111
11/1/2016 4:35,3.113
11/1/2016 4:40,3.115
11/1/2016 4:45,3.116
11/1/2016 4:55,3.12
11/1/2016 5:00,3.123
11/1/2016 5:05,3.122
11/1/2016 5:10,3.125
11/1/2016 5:20,3.128
11/1/2016 5:25,3.129
11/1/2016 5:30,3.132
11/1/2016 5:35,3.132
11/1/2016 5:40,3.134
11/1/2016 6:05,3.142
11/1/2016 6:25,3.148
11/1/2016 6:35,3.152
11/1/2016 6:40,3.153
11/1/2016 6:50,3.156
11/1/2016 7:00,3.159
11/1/2016 7:05,3.159
11/1/2016 7:20,3.162
11/1/2016 7:25,3.163
11/1/2016 7:35,3.166
11/1/2016 7:40,3.167
11/1/2016 7:45,3.169
11/1/2016 7:55,3.17
11/1/2016 8:00,3.172
11/1/2016 8:05,3.172
11/1/2016 8:10,3.174
11/1/2016 8:15,3.173
11/1/2016 8:20,3.173
11/1/2016 8:25,3.173
11/1/2016 8:30,3.176
11/1/2016 8:40,3.176
11/1/2016 8:50,3.178
11/1/2016 9:05,3.18
11/1/2016 9:10,3.178
11/1/2016 9:20,3.182
11/1/2016 9:30,3.182
11/1/2016 9:40,3.183
11/1/2016 9:55,3.185
11/1/2016 10:00,3.185
11/1/2016 10:10,3.186
11/1/2016 10:15,3.186
11/1/2016 10:35,3.187
11/1/2016 10:40,3.188
11/1/2016 10:50,3.188
11/1/2016 11:00,3.189
11/1/2016 11:10,3.189
11/1/2016 11:15,3.188
11/1/2016 11:20,3.188
11/1/2016 11:25,3.189
11/1/2016 11:30,3.188
11/1/2016 11:35,3.189
11/1/2016 12:00,3.188
11/1/2016 12:15,3.187
11/1/2016 12:20,3.185
11/1/2016 12:35,3.186
11/1/2016 12:55,3.184
11/1/2016 13:00,3.184
11/1/2016 13:10,3.181
11/1/2016 13:20,3.182
11/1/2016 13:30,3.182
11/1/2016 13:35,3.179
11/1/2016 13:45,3.18
11/1/2016 14:00,3.179
11/1/2016 14:10,3.178
11/1/2016 14:15,3.176
11/1/2016 14:25,3.174
11/1/2016 14:35,3.174
11/1/2016 14:40,3.174
11/1/2016 14:55,3.173
11/1/2016 15:00,3.17
11/1/2016 15:05,3.17
11/1/2016 15:10,3.168
11/1/2016 15:20,3.166
11/1/2016 15:30,3.165
11/1/2016 15:35,3.164
11/1/2016 15:45,3.161
11/1/2016 15:50,3.161
11/1/2016 16:15,3.156
11/1/2016 16:25,3.154
11/1/2016 16:35,3.152
11/1/2016 16:45,3.149
11/1/2016 16:55,3.148
11/1/2016 17:05,3.145
11/1/2016 17:15,3.144
11/1/2016 17:25,3.141
11/1/2016 17:30,3.14
11/1/2016 17:35,3.138
11/1/2016 17:40,3.137
11/1/2016 17:50,3.134
11/1/2016 17:55,3.133
11/1/2016 18:05,3.131
11/1/2016 18:25,3.124
11/1/2016 18:35,3.123
11/1/2016 18:40,3.121
11/1/2016 18:50,3.118
11/1/2016 18:55,3.117
11/1/2016 19:15,3.109
11/1/2016 19:20,3.108
11/1/2016 19:25,3.106
11/1/2016 19:35,3.101
11/1/2016 20:00,3.094
11/1/2016 20:05,3.091
11/1/2016 20:35,3.08
11/1/2016 20:40,3.078
11/1/2016 20:45,3.076
11/1/2016 20:50,3.074
11/1/2016 20:55,3.071
11/1/2016 21:30,3.06
11/1/2016 21:50,3.052
11/1/2016 22:10,3.046
11/1/2016 22:15,3.045
11/1/2016 22:20,3.042
11/1/2016 22:25,3.041
11/1/2016 22:35,3.037
11/1/2016 22:40,3.036
11/1/2016 22:45,3.034
11/1/2016 22:50,3.032
11/1/2016 22:55,3.03
11/1/2016 23:00,3.028
11/1/2016 23:10,3.026
11/1/2016 23:25,3.02
11/1/2016 23:55,3.014
